"id","country_region","rest_name","is_claimed","rating","last_review","address","latitude","longitude","popularity_top","popularity_detailed","n_reviews","travellers_choice","michelin","price_range","cuisines","meal_types","special_diets","features","working_hours","telephone","website","food_rating","service_rating","value_rating","atmosphere_rating","traveller_rating_5","traveller_rating_4","traveller_rating_3","traveller_rating_2","traveller_rating_1","all_languages","id_destination","status","price_category","top_tags","English","non-English","local","type"
"g186470-d6733013","['Europe', 'United Kingdom (UK)', 'Northern Ireland', 'Belfast', 'Belfast Restaurants', 'Hungry Monk Asian Take Away']","Hungry Monk Asian Take Away","Unclaimed",3.5,"August 6, 2022","203 Upper Newtownards Road, Belfast BT4 3JD Northern Ireland",54.59506,-5.86995,"#540 of 689 Restaurants in Belfast","#87 of 102 Asian in Belfast",20,0,0,,"Chinese, Fast Food, Asian","Lunch, Dinner",,"Delivery, Takeout","True","True","https://www.facebook.com/Hungry-Monk-Asian-Take-Away-123619287676467",,,,,7,3,3,2,5,"English (19), French (1)","g186470-d6733013","in rating","$","Chinese, Fast Food, Asian",19,1,19,"Restaurants"
"g186470-d6749718",,,,,,,,,,,0,0,0,,,,,"nan","False","False",,,,,,,,,,,"nan",,"redirect",,,0,0,0,
"g186470-d6749728","['Europe', 'United Kingdom (UK)', 'Northern Ireland', 'Belfast', 'Belfast Restaurants', 'Fresh Cafe and Restaurant']","Fresh Cafe and Restaurant","Unclaimed",4.5,"January 23, 2020","237 Cliftonville Road, Belfast BT14 6JU Northern Ireland",54.6213,-5.95419,"#329 of 689 Restaurants in Belfast","#98 of 134 European in Belfast",43,0,0,,"European, British","Dinner, Lunch, Brunch","Vegetarian Friendly","Seating, Delivery, Takeout, Reservations, Wheelchair Accessible, Table Service","False","True","https://www.facebook.com/Freshcafeandrestaurant",50,45,45,45,30,4,3,3,3,"English (43)","g186470-d6749728","in rating","$$ - $$$","European, British, Vegetarian Friendly",43,0,43,"Restaurants"
"g186470-d6753022","['Europe', 'United Kingdom (UK)', 'Northern Ireland', 'Belfast', 'Belfast Restaurants', 'Ground Espresso Bar']","Ground Espresso Bar","Unclaimed",4,"February 19, 2023","44-46 Fountain Street, Belfast BT1 5EE Northern Ireland",54.597324,-5.933105,"#32 of 97 Coffee & Tea in Belfast","#32 of 97 Coffee & Tea in Belfast",40,0,0,,"Cafe","Breakfast, Lunch","Vegetarian Friendly","Takeout, Seating","False","True","http://www.groundcoffee.net",40,45,35,,19,12,2,3,4,"Portuguese (1), English (39)","g186470-d6753022","in rating","$","Quick Bites, Cafe, Vegetarian Friendly",39,1,39,"Coffee & Tea"
"g186470-d6855860","['Europe', 'United Kingdom (UK)', 'Northern Ireland', 'Belfast', 'Belfast Restaurants', 'Urban Soul Cafe']","Urban Soul Cafe - CLOSED","Unclaimed",3,"October 19, 2015","May Street Church, May St, Belfast BT1 4NU Northern Ireland",54.59623,-5.92837,,,2,0,0,,"American, British","Breakfast, Lunch",,,"False","True",,,,,,1,0,0,0,1,"English (2)","g186470-d6855860","closed",,"American, British",2,0,2,
"g186470-d6857488","['Europe', 'United Kingdom (UK)', 'Northern Ireland', 'Belfast', 'Belfast Restaurants', 'Kaffe O']","Kaffe O","Claimed",4,"May 6, 2023","411 Ormeau Road, Belfast BT7 3GP Northern Ireland",54.57689,-5.918046,"#18 of 97 Coffee & Tea in Belfast","#18 of 97 Coffee & Tea in Belfast",157,0,0,,"Cafe","Breakfast, Brunch, Lunch","Vegetarian Friendly, Vegan Options, Gluten Free Options","Takeout, Seating, Highchairs Available, Free Wifi","True","True","http://www.facebook.com/kaffeo",45,40,35,45,63,48,19,14,13,"English (155), Italian (1), Swedish (1)","g186470-d6857488","in rating","$$ - $$$","Cafe, Vegetarian Friendly, Vegan Options",155,2,155,"Coffee & Tea"
"g186470-d6885298",,,,,,,,,,,0,0,0,,,,,"nan","False","False",,,,,,,,,,,"nan",,"redirect",,,0,0,0,
"g186470-d6901374","['Europe', 'United Kingdom (UK)', 'Northern Ireland', 'Belfast', 'Belfast Restaurants', 'Lyttleitaly']","Lyttleitaly - CLOSED","Unclaimed",5,"July 22, 2014","Ormeau Road, Belfast Northern Ireland",54.5783,-5.91939,,,1,0,0,,"Italian",,,,"False","True",,,,,,1,0,0,0,0,"English (1)","g186470-d6901374","closed",,"Italian",1,0,1,
"g186470-d6902758",,,,,,,,,,,0,0,0,,,,,"nan","False","False",,,,,,,,,,,"nan",,"redirect",,,0,0,0,
"g186470-d6929821","['Europe', 'United Kingdom (UK)', 'Northern Ireland', 'Belfast', 'Belfast Restaurants', 'Olivers Coffee Bar']","Olivers Coffee Bar","Claimed",4,"July 8, 2023","59 Belmont Road, Belfast BT4 2AA Northern Ireland",54.600338,-5.876319,"#14 of 97 Coffee & Tea in Belfast","#14 of 97 Coffee & Tea in Belfast",168,0,0,"₪24 - ₪48","Cafe, British","Breakfast, Lunch, Brunch, Late Night","Vegetarian Friendly, Gluten Free Options, Vegan Options","Takeout, Seating, Highchairs Available, Free Wifi, Table Service","True","True","http://www.facebook.com/oliverscoffeebar",40,40,40,45,90,31,12,19,16,"English (168)","g186470-d6929821","in rating","$$ - $$$","Cafe, British, Vegetarian Friendly",168,0,168,"Coffee & Tea"
