"id","country_region","rest_name","is_claimed","rating","last_review","address","latitude","longitude","popularity_top","popularity_detailed","n_reviews","travellers_choice","michelin","price_range","cuisines","meal_types","special_diets","features","working_hours","telephone","website","food_rating","service_rating","value_rating","atmosphere_rating","traveller_rating_5","traveller_rating_4","traveller_rating_3","traveller_rating_2","traveller_rating_1","all_languages","status","id_destination","price_category","top_tags","type","English","non-English","local"
"g189909-d2251366","['Europe', 'Finland', 'Southern Savonia', 'Mikkeli', 'Mikkeli Restaurants', 'Tertin Kartano']","Tertin Kartano","Claimed",4.5,"September 17, 2023","Kuopiontie 68, Mikkeli 50350 Finland",61.706364,27.38159,"#2 of 55 Restaurants in Mikkeli","#1 of 22 Cafe in Mikkeli",204,0,0,,"Cafe, European, Scandinavian","Breakfast, Lunch, Dinner, Brunch, Drinks","Vegetarian Friendly, Vegan Options, Gluten Free Options","Reservations, Outdoor Seating, Private Dining, Seating, Parking Available, Validated Parking, Highchairs Available, Serves Alcohol","True","True","http://www.tertinkartano.fi/en/",45,45,40,50,126,51,18,8,1,"Turkish (1), Russian (6), Finnish (104), French (3), German (2), Swedish (3), Italian (4), English (81)","in rating","g189909-d2251366","$$ - $$$","Cafe, European, Scandinavian","Restaurants",81,123,104
"g189909-d23144088","['Europe', 'Finland', 'Southern Savonia', 'Mikkeli', 'Mikkeli Restaurants', 'Cafe Setri']","Cafe Setri","Unclaimed",3,"February 10, 2021","Setrikatu 1-2, Mikkeli 50100 Finland",61.680805,27.270943,"#50 of 55 Restaurants in Mikkeli","#50 of 55 Restaurants in Mikkeli",1,0,0,,"Cafe, Mediterranean, European, Soups, Scandinavian",,,,"False","False",,,,,,0,0,1,0,0,"English, Finnish (1)","in rating","g189909-d23144088","$","Cafe, Mediterranean, European","Restaurants",0,1,1
"g189909-d2321267","['Europe', 'Finland', 'Southern Savonia', 'Mikkeli', 'Mikkeli Restaurants', 'Frans & Michelle']","Frans & Michelle","Claimed",4,"August 27, 2023","Porrassalmenkatu 9, Mikkeli 50100 Finland",61.685455,27.273808,"#11 of 55 Restaurants in Mikkeli","#11 of 55 Restaurants in Mikkeli",54,0,0,,"European, Scandinavian, French","Lunch, Dinner, Breakfast, Drinks",,"Reservations, Seating, Wheelchair Accessible, Private Dining, Validated Parking, Highchairs Available, Serves Alcohol, Full Bar, Wine and Beer, Free Wifi, Accepts Credit Cards, Table Service","True","True","http://www.raflaamo.fi/fi/mikkeli/frans-michelle-mikkeli",40,40,40,45,17,18,15,3,1,"Swedish (1), Portuguese (1), English (18), Russian (5), Finnish (26), Norwegian (2), German (1)","in rating","g189909-d2321267","$$ - $$$","French, European, Scandinavian","Restaurants",18,36,26
"g189909-d4355228","['Europe', 'Finland', 'Southern Savonia', 'Mikkeli', 'Mikkeli Restaurants', 'Gastropub Eino']","Gastropub Eino","Claimed",4,"May 11, 2023","Hallituskatu 3, Mikkeli 50100 Finland",61.688465,27.273775,"#10 of 55 Restaurants in Mikkeli","#4 of 11 Scandinavian in Mikkeli",99,0,0,,"Bar, European, Pub, Scandinavian, Gastropub","Lunch, Dinner, Drinks",,"Reservations, Seating, Serves Alcohol, Full Bar, Table Service, Highchairs Available","True","True","http://www.raflaamo.fi/fi/mikkeli/gastropub-eino",40,40,35,40,23,47,21,5,3,"Italian (2), Swedish (1), Turkish (1), German (4), Finnish (57), English (24), Polish (1), Russian (9)","in rating","g189909-d4355228","$$ - $$$","Bar, European, Pub","Restaurants",24,75,57
"g189909-d6695225","['Europe', 'Finland', 'Southern Savonia', 'Mikkeli', 'Mikkeli Restaurants', 'Kumari Nepalese Restaurant']","Kumari Nepalese Restaurant","Claimed",4.5,"April 3, 2023","Mikonkatu 8L, 11, Mikkeli 50100 Finland",61.689377,27.27014,"#4 of 55 Restaurants in Mikkeli","#1 of 3 Asian in Mikkeli",160,0,0,"₪21 - ₪115","Asian, Nepali","Lunch, Dinner, Drinks","Vegetarian Friendly, Vegan Options, Gluten Free Options","Takeout, Wheelchair Accessible, Reservations, Buffet, Seating, Street Parking, Highchairs Available, Serves Alcohol, Full Bar, Wine and Beer, Accepts Mastercard, Accepts Visa, Cash Only, Free Wifi, Accepts Discover, Accepts Credit Cards, Table Service, Gift Cards Available","True","True","http://www.kumari.fi",45,45,40,45,86,53,12,6,3,"Italian (2), English (50), German (6), Spanish (1), Russian (7), Finnish (94)","in rating","g189909-d6695225","$$ - $$$","Asian, Nepali, Vegetarian Friendly","Restaurants",50,110,94
"g189909-d6848498",,,,,,,,,,,0,0,0,,,"nan",,"nan","False","False",,,,,,,,,,,"nan","redirect",,,,,0,0,0
"g189909-d6856717","['Europe', 'Finland', 'Southern Savonia', 'Mikkeli', 'Mikkeli Restaurants', 'Instile Mannila']","Instile Mannila","Claimed",4.5,"September 5, 2022","Vanha Otavantie 110, Mikkeli Finland",61.638985,27.075182,"#8 of 55 Restaurants in Mikkeli","#6 of 17 European in Mikkeli",54,0,0,,"Italian, Pizza, European",,"Vegetarian Friendly","Takeout, Outdoor Seating, Highchairs Available, Reservations, Seating, Table Service","False","True","http://www.instile.fi/",45,45,40,,32,15,4,2,1,"English (20), Finnish (33), Russian (1)","in rating","g189909-d6856717","$$ - $$$","Italian, Pizza, European","Restaurants",20,34,33
"g189909-d7261423","['Europe', 'Finland', 'Southern Savonia', 'Mikkeli', 'Mikkeli Restaurants', 'Memory Dreams Kebab- Pizzeria']","Memory Dreams Kebab- Pizzeria","Unclaimed",4,"February 20, 2020","Porrassalmenkatu 31, Mikkeli 50100 Finland",61.68994,27.27601,"#25 of 55 Restaurants in Mikkeli","#8 of 12 Pizza in Mikkeli",8,0,0,,"Pizza",,,,"False","True","http://www.pizzamikkeli.com/",,,,,3,3,1,0,1,"Russian (4), English (2), Finnish (2)","in rating","g189909-d7261423","$","Pizza","Restaurants",2,6,2
"g189909-d780369","['Europe', 'Finland', 'Southern Savonia', 'Mikkeli', 'Mikkeli Restaurants', 'Ravintola Fernando']","Ravintola Fernando","Unclaimed",4,"September 21, 2021","Maaherrankatu 17, Mikkeli 50100 Finland",61.691307,27.274454,"#1 of 3 Desserts in Mikkeli","#1 of 3 Dessert in Mikkeli",106,0,0,"₪117 - ₪295",,"Lunch, Dinner",,"Takeout, Reservations, Seating, Serves Alcohol, Table Service","False","True","http://www.ravintolafernando.fi",35,35,35,40,32,35,27,6,6,"Finnish (72), Russian (2), Spanish (2), English (28), French (1), Italian (1)","in rating","g189909-d780369","$$ - $$$","Dessert","Desserts",28,78,72
"g189909-d813237","['Europe', 'Finland', 'Southern Savonia', 'Mikkeli', 'Mikkeli Restaurants', 'Amarillo']","Amarillo","Claimed",3.5,"July 15, 2023","Hallituskatu 5, Mikkeli 50100 Finland",61.688423,27.273397,"#16 of 55 Restaurants in Mikkeli","#3 of 4 Bar in Mikkeli",50,0,0,"₪43 - ₪145","Mexican, Southwestern, Bar, Pub","Lunch, Dinner, Drinks","Vegetarian Friendly","Table Service, Reservations, Outdoor Seating, Private Dining, Seating, Parking Available, Highchairs Available, Wheelchair Accessible, Serves Alcohol, Full Bar, Wine and Beer, Free Wifi, Accepts Credit Cards","True","True","http://www.raflaamo.fi/fi/mikkeli/amarillo-mikkeli",35,35,35,,8,18,17,4,3,"Finnish (29), Russian (5), English (13), French (1), German (1), Italian (1)","in rating","g189909-d813237","$$ - $$$","Mexican, Southwestern, Bar","Restaurants",13,37,29
